plateifu	first_data	vlass_data	mangaid	objra	objdec	z_1	ra	dec	z_2	flux	lum	Mr01	NYU_mstar	is_agn	selection	ref	GAU	ELPETRO_TH50_R
10213-12701	1	1	1-72673	124.1299491	43.72845832	0.142333	124.129955	43.72844481	0.1423515	4	23.325	-21.688986	10.92207743	1	1	L10	0	5.005713
10214-3703	1	1	1-153696	122.921386	36.11577544	0.0862614	122.9213394	36.11577223	0.086278	43.7	23.901	-21.836996	10.98405669	1	1	L10	0	4.9477963
10215-3702	1	1	1-548639	121.3701102	37.55785322	0.0337287	121.3701045	37.55783918	0.0337409	3	21.894	-20.90532	10.55135204	0	0	L10	0	5.243437
10216-12704	1	1	1-382452	118.1623001	18.32160568	0.0449364	118.1622957	18.32159967	0.0449433	9.5	22.65	-20.649345	10.44394049	0	0	L10	0	6.531834
10216-9101	1	1	1-297956	116.6727447	18.73484105	0.0514557	116.6727371	18.73483456	0.0514866	17.3	23.032	-21.944561	11.02388841	1	0	L10	0	7.070266
10222-6101	1	1	1-582721	42.32616052	-8.174944543	0.0300342	42.32615727	-8.17494283	0.0302815	7.3	22.184	-21.27675	10.67900799	0	0	L10	0	8.633842
10493-12701	1	1	1-351890	121.2301075	52.07082422	0.0697078	121.2300438	52.07088138	0.0697039	3.2	22.572	-21.118698	10.47255362	0	0	L10	0	6.474335
10493-6103	1	1	1-352292	123.4317283	52.96061662	0.138128	123.4316741	52.96067003	0.1381322	212.6	25.023	-22.151217	11.10828364	1	1	L10	0	6.796991
10494-12702	1	1	1-352560	124.5160486	54.61908305	0.117425	124.5160486	54.61908305	0.1174978	504.8	25.248	-22.690151	11.33875247	1	1	L10	0	13.719557
10494-12704	1	1	1-352569	125.3882609	55.15196808	0.0797181	125.3881722	55.15202735	0.079669	5.3	22.912	-21.925495	10.99341915	1	0	L10	0	9.9447975
10494-6102	1	1	1-352603	124.9240982	54.62727661	0.0805874	124.9240387	54.62735245	0.0806016	6.1	22.984	-21.839504	10.9845707	1	0	L10	0	5.922393
10496-6104	1	1	1-154281	126.5023939	40.98111497	0.0575645	126.5023866	40.9811098	0.0575592	14	23.04	-22.23878	11.12979416	1	0	L10	0	14.203606
10496-9101	1	1	1-72421	123.4120806	41.36503434	0.099839	123.4120839	41.36503191	0.0998293	3.4	22.926	-21.847458	10.98208256	1	0	L10	0	7.0998387
10497-12702	1	1	1-383052	121.6039632	17.41768632	0.104144	121.6039326	17.41770006	0.1041248	40.5	24.04	-21.462477	10.79318404	1	1	L10	0	9.684381
10498-1902	1	1	1-299561	130.320095	27.65931452	0.0950556	130.320084	27.65931429	0.0950887	12.5	23.446	-21.453657	10.83111428	1	1	L10	0	4.1001325
10498-3702	1	1	1-299570	130.1508722	27.87653023	0.0965892	130.1508583	27.87654129	0.0965948	15	23.54	-21.64936	10.86246822	1	1	L10	0	6.985332
10498-6102	1	1	1-385347	130.4190728	25.80776927	0.13984	130.4190655	25.80777505	0.139837	28.9	24.167	-22.036058	11.04875619	1	1	L10	0	3.8677988
10498-6103	1	1	1-299532	131.2249752	27.71899985	0.0854244	131.2249755	27.71899302	0.0854342	6.6	23.071	-21.17456	10.69828181	0	0	L10	0	5.5931616
