plateifu "count in aperture" distance(kpc) "nth distance" "nth redsuift difference"
31 2 "[162.54764811496304, 0.13538768260668665]" "[0.13538768260668665, 162.54764811496304, 4775.414647146912, 6093.005664499154, 6128.315922910157, 7680.865335015929, 10641.572724836657]" "[196.36339386713095, 0.0007005000073527433, 463.8626676596362, 608.6866315387148, -175.46417050904444, 714.3997714022058, -308.5526535555761]"
48 1 [0.29349860164898744] "[0.29349860164898744, 1144.3228042972178, 2194.4891587199495, 4995.702164160974, 5123.744966090573, 5500.182264185276, 8987.087524655615]" "[-63.253152686272, 218.74683324268068, 510.44076413037976, -496.31785876498014, -0.0012786443868714724, 148.50370396557057, 147.47176788931694]"
73 0 [] "[402.5691830930698, 1255.69436847356, 3169.0133218344067, 3740.7054487407963, 3800.8061211462245, 3815.34363108269, 3921.1476394729016]" "[inf, 174.578048251623, -307.5505276344179, 450.0223363801331, 2.1308084958583957, 417.141100495869, 538.1791611800879]"
81 2 "[161.9886157510655, 286.88028840333885]" "[161.9886157510655, 286.88028840333885, 956.2547642308311, 960.306592504387, 979.3911883635544, 1031.251468231238, 1067.1645295466228]" "[-199.16672299727642, 106.40250422308003, -99.86856237837516, 563.2553471245185, -256.6737061557754, 581.4549470148102, 69.79110979478216]"
114 1 [0.12290462098178646] "[0.12290462098178646, 444.62883343222325, 828.7914060169156, 874.4229029087719, 942.3350167746174, 1034.5781800162138, 1153.387012096145]" "[819.9286558903794, -0.00039738991443206474, -110.7190973115969, 57.506585768584564, 363.07581298894104, -21.914520429145135, 838.1282557806711]"
178 1 [0.14098743310170436] "[0.14098743310170436, 1698.8235144448267, 3014.6942670883245, 3747.530619963894, 6452.349181815693, 7125.636813291258, 9722.797875238837]" "[-116.39661953220877, 334.972666946713, -246.4518359303585, -3.756326052979819e-05, -128.3755658026597, 933.9959238168635, -731.9464890175125]"
182 1 [0.04355221069257449] "[0.04355221069257449, 1133.7284630634763, 1394.362847623141, 1410.967063027864, 1694.1064838632997, 1893.1187987461112, 2020.2562668904252]" "[680.2966909479295, 790.9014758482073, 996.6320045049582, -812.3787407021429, 303.5462107447778, 0.0006503752564034935, 568.4768124860022]"
200 2 "[0.20439869788740633, 275.171250843393]" "[0.20439869788740633, 275.171250843393, 425.4540674666366, 482.8721380095763, 653.8215172420428, 723.2805299569538, 726.8717716312059]" "[455.557786874388, 326.06767832752, 332.5608345475836, 806.2753342447771, 0.00044813794331242804, 295.3061552925302, 148.83824130063192]"
201 4 "[290.5659627838674, 267.4836105522444, 0.09660129771370551, 214.6470752785546]" "[0.09660129771370551, 214.6470752785546, 267.4836105522444, 290.5659627838674, 444.1975582674955, 470.77715347520774, 720.27122116791]" "[-335.53631122609295, -368.2142869741253, -841.9823937402151, -255.0207273717306, 99.36443696231325, -0.0007324927083717887, 582.1765029767819]"
208 1 [0.12028528704123852] "[0.12028528704123852, 1048.4220957608118, 1050.4456086160642, 1334.8314609867589, 2148.732116314861, 2567.6709861995437, 2801.461913331646]" "[324.25337630015065, -0.0001480584348003292, 365.7675839045887, 349.6765287242179, 667.7652401597296, 473.17604732192507, -423.2413587618971]"
211 2 "[225.69512642274307, 0.059141921624159585]" "[0.059141921624159585, 225.69512642274307, 689.579770319212, 1119.4952799905896, 1392.5100542874095, 1603.372569424209, 1651.3032897465544]" "[289.3269316430385, 229.67789935655844, 0.0006462982590347236, 22.87076206614031, -150.07904396052703, -864.2659202150111, -155.38391015338942]"
232 2 "[277.8693115508131, 0.19609934609608062]" "[0.19609934609608062, 277.8693115508131, 448.1016353405281, 491.4694120149735, 756.506594408451, 783.7746112469873, 913.2012938067868]" "[473.7155605853749, -6.492095331882191, -229.15799050412053, -37.253618366872026, 0.0010608881813755002, 122.99801321498578, -332.5593255214589]"
245 2 "[221.47186078826044, 0.05071586380308336]" "[0.05071586380308336, 221.47186078826044, 339.76992655688866, 569.6833083032158, 1017.7689109063326, 1224.931683919876, 1380.3535307196364]" "[-389.68169359387537, -365.64339044962907, -0.0007416473635335835, -971.8589290633656, -303.9059161040642, -872.493759608344, 284.9431658151439]"
252 2 "[0.14523021698666178, 100.19814586214778]" "[0.14523021698666178, 100.19814586214778, 341.6989589210245, 498.18684179428953, 851.0503542973673, 979.9005471814518, 1064.3226769753567]" "[-762.4227889368374, -456.8535617164809, -819.9297720953364, 18.198881075249226, 383.75441839055827, -841.8438951345671, -0.0007188150424639518]"
258 2 "[149.92934262534666, 0.13206698761688465]" "[0.13206698761688465, 149.92934262534666, 492.9081935171483, 538.2241971027211, 614.6982571379766, 1480.0933143192492, 1520.0402405128298]" "[-293.6835886706766, -308.69356796163885, -3.6715795695987423, -613.2822325467673, 0.0005046497973716172, 123.64744268696933, -131.22513275258808]"
270 0 [] "[589.6100922004879, 817.3447624670507, 906.3518408897651, 1426.8909170057996, 1917.7417490462597, 2366.9874009951604, 2909.044568183168]" "[-337.43044491189727, -8.055211845845081, -52.138091501563885, -145.5640444484503, -441.559942615077, 43.4723495028465, -177.66797783371814]"
275 1 [0.06714400863925508] "[0.06714400863925508, 544.2703506236605, 736.0700764715546, 850.4222535419646, 3137.515475530119, 3475.7826074311774, 4666.413365426159]" "[inf, 210.70055180273445, 70.39521710603924, 136.85011351447793, 418.2045809888044, 0.00020113372298243858, 934.9923605441699]"
283 1 [0.1362490454944687] "[0.1362490454944687, 3735.221194391876, 4411.056051773134, 5435.002748797881, 6662.986247110523, 13803.900378429575, 15183.92192821731]" "[inf, 944.3390019546076, -298.70617886839057, 0.0013435332402766094, 688.7985717817172, -707.3975376222505, -653.3571449190453]"
310 1 [0.18274021511966615] "[0.18274021511966615, 358.9474605334378, 377.55199790360075, 489.3482145636711, 656.4752601565856, 948.3674129096663, 1041.5116130478168]" "[0.000279677372268129, -148.83751348531635, 657.4373726215174, 183.72287292432395, -45.436178467977946, 177.2297167042604, 306.7198252511283]"
315 1 [0.012046926615965368] "[0.012046926615965368, 485.80294336645653, 518.5418591453802, 520.0798413173355, 722.9350111502904, 2087.8045621732776, 2134.0897120261025]" "[948.6709279159488, 89.0793445360097, 725.2165621053608, 306.2103098447057, 26.74325792110292, -1.4004532494512394, 45.56380635944335]"
337 2 "[0.20175880225368736, 141.47928727387313]" "[0.20175880225368736, 141.47928727387313, 348.8044324943192, 800.2006579095499, 1059.6701954489292, 1393.645611686988, 2001.111211835319]" "[318.08881611081944, 16.091159855678555, -349.67657210734495, 49.227029317200056, -114.98259085150075, 0.00010467530774778896, 660.4257917104213]"
357 1 [0.15247353415299533] "[0.15247353415299533, 945.6339061388755, 965.9512443082201, 4116.203454403796, 5254.422221266212, 7299.558896663847, 7411.141535638099]" "[554.9737878615774, -338.4349214804403, -105.75790619181915, -329.21227200240713, 257.27363162962274, 60.06886055525318, -220.9773662729196]"
365 1 [0.145385120730595] "[0.145385120730595, 1001.0718905906722, 1182.478301370938, 1318.678784017013, 1372.0821536977676, 1457.2063714282815, 1504.5282617858657]" "[74.68584370232854, -36.76548616093662, 2.8590438102662816e-05, -220.4880794078883, 86.23146616586777, -369.3258725705769, -265.9245375532385]"
369 1 [259.85854192879] "[259.85854192879, 352.3222435322482, 401.870775783459, 1019.0042264070415, 1102.7853533434368, 1113.969920480802, 1775.128001192274]" "[-157.492865210412, -141.4018100300412, -108.26594056851968, 502.93282182470153, -272.47556073722046, 160.5958462250997, -507.1695419930647]"
387 1 [0.1145426653384933] "[0.1145426653384933, 3044.704252599178, 4674.620833536965, 4871.202978367978, 6573.565378462005, 7862.204453672462, 7874.299352915592]" "[-745.9170138096457, 653.3570348001176, -826.2650755737071, -54.0418463553732, -281.483237915123, -310.0290021023994, -0.0014536521678585193]"
420 2 "[0.08447297558083482, 205.10078648964767]" "[0.08447297558083482, 205.10078648964767, 2118.506311475758, 2146.1368747891725, 2178.4582653680204, 2299.3776937729936, 2382.1505017169548]" "[300.99248152071453, 192.757575791227, -226.24867646942815, -443.37964177812415, 183.5349263131938, 489.0907517663262, -486.89517995469055]"
440 1 [0.15491835233822174] "[0.15491835233822174, 1497.714708790784, 1623.628669338207, 1794.5988871778175, 1993.1137641537298, 2080.21875366379, 2177.0110101196087]" "[-558.9690118269857, -721.4274677450742, -431.4154586439963, -304.09643638742824, -736.4374470360365, -427.7433744246002, 709.1173710541938]"
474 1 [0.127474340617628] "[0.127474340617628, 472.95536414381695, 533.7330717141243, 1436.8678794546584, 3072.666685752214, 3099.8301327816835, 4075.382027629693]" "[7.595480213284156, -492.73046193517774, -17.52836607611213, -0.0010881748947884115, -777.7614808846417, -777.6743693976853, -871.0087436018738]"
495 1 [55.08552040814434] "[55.08552040814434, 556.5324993811809, 641.4352283384594, 1929.220017401557, 2487.3511922166113, 2818.732409657109, 3446.800222118105]" "[inf, 425.31136956136146, 302.307716350945, 535.1232165675483, 24.55162337628224, -48.079254094583604, 320.4626436838231]"
508 1 [0.20364204516568665] "[0.20364204516568665, 383.38876455929056, 1962.67544622558, 2051.521499899147, 2090.5809790238072, 2217.393877814285, 2425.651761246319]" "[611.6454964026776, 8.435320619817083e-06, 327.1594826536593, -555.8382871831241, -188.8107891010376, 708.4330592949358, 286.14337406438267]"
522 1 [0.30066472221874513] "[0.30066472221874513, 1128.436758015852, 1253.6963926321525, 1282.1358434294061, 1680.3741578624276, 2345.152581204815, 2548.6476347489233]" "[-86.11090418527175, 226.9432100297297, -131.94941534734417, -8.251485873673503e-05, -9.953128306603922, 341.7907710703621, 281.85583441643513]"
529 1 [0.01635501488087166] "[0.01635501488087166, 1136.7377999505404, 1212.1978351666496, 1414.4585329143881, 1665.440334286926, 1751.1564968320138, 2096.969557267326]" "[inf, -0.0005139931541811229, 349.888357437213, 275.17573879087445, -870.7021624018502, 310.30623794091224, -529.0352751634521]"
560 2 "[0.22066760798510965, 272.281491267855]" "[0.22066760798510965, 272.281491267855, 3121.270947003656, 3176.403946557258, 3629.6473760408694, 4414.121337283115, 4622.122375790259]" "[-338.37190427527, 538.1260084578378, -207.78955169964007, 0.00038185387678749366, -120.82995143836906, -466.78317056060007, -472.501257909538]"
565 1 [0.1468861245738654] "[0.1468861245738654, 938.6738600529334, 1076.2994920627204, 2035.466331188453, 2497.7605575393736, 3035.728458090147, 3288.084538544035]" "[5.912044756412471e-05, -61.23261532634384, -871.3337059756506, 871.1484331032793, 146.70920492237917, 880.7999391324829, 22.608840427459405]"
