plateifu,mangaid,stellarmass_1re,o3_lum_1re,dn4000_specindex_1re,hd_specindex_1re,sfr_1re,stellarmass_0.5re,o3_lum_0.5re,dn4000_specindex_0.5re,hd_specindex_0.5re,sfr_0.5re,stellarmass_0.3re,o3_lum_0.3re,dn4000_specindex_0.3re,hd_specindex_0.3re,sfr_0.3re
,1-43374,11.06101194,nan,1.963392138,-1.829911947,nan,10.79441868,nan,1.981473804,-2.217385054,nan,10.49184985,nan,2.007561922,-2.301080704,nan
,1-43361,9.646903928,nan,1.392477155,3.948702335,nan,9.20411321,nan,1.359726429,4.06643486,nan,8.734249031,nan,1.360852599,4.074620724,nan
7443-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7443-12704,1-43285,10.05447648,39.58969915,1.191290259,5.435827255,0.110048598,9.61904122,38.99478432,1.209356904,4.709082603,0.034639272,9.265933493,38.58285399,1.23009181,4.436477661,0.014760627
7443-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7443-3702,1-338600,9.674574235,40.47094231,1.694455266,0.759309769,0.284351128,9.320231709,40.14150664,1.689990401,0.847832918,0.164088499,8.934902215,39.77996693,1.693452597,1.005271673,0.07729114
7443-3704,1-584598,10.21324809,40.99210763,1.101371169,5.502528191,0.635050734,9.734851379,40.51754426,1.097642779,5.332255363,0.208799334,9.385455242,40.15910264,1.095013857,5.334543228,0.091487588
7443-12701,1-338250,11.3799143,38.77024372,1.980130196,-1.849369645,0.002820074,11.08824299,38.50982882,2.009206295,-1.741856337,0.001686395,10.72294717,38.1310292,2.02330637,-2.076934099,0.000714045
7443-3701,1-43188,11.1973395,38.45843271,1.920876265,-1.196854353,0.001428338,10.96605308,38.27380741,1.988718987,-1.747786999,0.001078724,10.74989192,38.09352456,2.018329144,-2.161549568,0.00080367
7443-12705,1-338555,11.38731792,40.17453002,1.77023387,0.586155117,0.177340279,11.04493137,39.81917852,1.793902159,-0.048708767,0.060327625,10.79256195,39.58202629,1.841456652,-0.38796562,0.032825794
7443-6104,1-43272,9.842639488,40.52493051,1.247588038,5.637496948,1.087442656,9.389297696,40.04380155,1.247588038,5.53208065,0.375307277,8.956815281,39.60699247,1.247707248,5.524943829,0.140233926
7443-6102,1-338566,8.822579115,40.5672259,1.250945091,6.00633955,0.303125883,8.319343276,39.8093731,1.268118501,6.083961964,0.060304945,7.887832529,39.29226224,1.269792318,6.098499775,0.019303601
7443-6103,1-43311,10.66300823,39.40787711,1.269051433,5.477674007,0.243565995,10.39924985,39.01217867,1.280423641,4.81004715,0.112889262,10.12109577,38.67835178,1.313408017,4.173404217,0.048226402
7443-3703,1-38663,11.38422911,38.84069246,1.812140942,-0.143708244,0.014751728,11.10950353,38.58803617,2.013056517,-2.053405523,0.004397741,10.68408782,38.16975087,2.059000731,-2.561268091,0.001487987
7443-9101,1-38713,9.474471428,39.82132661,1.356697083,6.053647041,0.199486135,9.169705702,39.47973928,1.336554766,5.90156126,0.097627512,8.820629513,39.20339423,1.319461346,6.026651859,0.053878691
7443-6101,1-38541,9.913757458,40.3162262,1.292678952,4.229759693,0.657834196,9.385311552,39.88016796,1.29312861,4.385641575,0.239178061,8.71465572,39.27007874,1.294152021,4.490841866,0.057760549
7443-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7443-12703,1-109428,10.3302706,39.07477379,2.015893221,-2.048835754,0.008555295,9.831769155,38.59434986,2.027727127,-2.123275518,0.002619197,9.000760078,37.74205628,2.011427402,-2.04839468,0.000392585
7443-12702,1-202100,11.62689841,39.77687644,2.096550465,-1.299885869,0.038458223,11.39522361,39.53249382,2.018102646,-1.558341265,0.023937342,11.17008367,39.39920447,1.924146891,-1.463479161,0.01578191
7495-6103,1-38510,9.417406445,38.82235764,1.676331043,1.176352501,0.008377436,8.990547275,38.47408209,1.676550388,1.300643802,0.004027905,8.497994623,37.9801785,1.66642344,1.253168583,0.001296605
7495-1901,1-38543,10.27983097,39.40835511,1.863579631,-0.558863282,0.021102325,9.839067631,39.00045019,1.917252064,-1.115308285,0.007242112,9.535441644,38.74078711,1.927129507,-1.206006765,0.003785118
7495-1902,1-38528,9.282391309,40.08232449,1.256235242,5.513505936,0.173174619,8.830416505,39.68454485,1.225958943,5.986102104,0.068058074,8.574239557,39.45631557,1.225658655,6.039856434,0.039835412
