plateifu,rad,kPAkin,kPAerr,k51,k51err,kPAks,pn
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
10214-3703,4.9478,12.07358415,2.526305828,0.161495036,0.126039682,17.00009056,271
10216-9101,7.07027,125.5013222,4.027554298,0.062408547,0.242110989,50.00007222,580
10493-6103,6.79699,85.28308629,39.51383905,0.070524685,0.092518884,88.50005083,479
10494-12702,13.7196,114.5167829,2.832172964,0.412760706,0.206861023,173.5000036,1638
10496-6104,9.526279442,171.3115073,2.137042236,0.693502144,0.211959061,103.0000428,1272
10498-3702,6.98533,96.32381325,1.999495257,0.076985618,0.040888115,52.00007111,545
10498-6102,3.8678,60.72965997,4.607176079,0.89208416,0.74090014,153.000015,149
10499-12702,13.2808,153.5095061,4.099373978,0.275299165,0.158055156,167.5000069,1613
10502-12702,4.96202,87.6322961,2.479047065,0.014221741,0.01881693,83.00005389,285
10503-9101,8.2922,10.51589378,0.599817837,0.138881265,0.089209789,92.50004861,587
10510-6104,6.68797,144.9974473,0.25080982,0.054134795,0.008965135,156.0000133,313
10510-9102,7.77908,174.1677051,0.364052155,0.030924735,0.009517201,0.0001,511
10513-12701,9.36163,17.85428404,0.546827845,0.191734948,0.061815,4.000097778,950
10841-12704,8.489515,125.3726075,1.703018892,0.374424188,0.16743255,63.000065,732
11010-3704,3.0522528,40.88801014,7.022568117,0.077911122,0.037843771,46.00007444,103
11011-9102,10.708494,151.1985477,3.300092681,0.167837279,0.130060164,110.0000389,1181
11020-9101,7.6952133,70.55023975,1.510013518,0.883081156,0.395883876,99.50004472,621
11024-6103,9.207088,54.04569548,1.0132917,0.198366579,0.13572491,20.00008889,543
11747-12704,11.845027,154.3886091,0.841013285,0.269381846,0.10262561,10.50009417,1618
11749-3702,5.2980204,107.7392457,3.353911204,0.039716368,0.082773628,98.50004528,319
11755-3701,5.0986547,53.8330539,1.410627365,0.090451943,0.024883413,55.50006917,267
11761-9102,11.69134295,150.1692884,1.680920778,0.049668723,0.082324159,142.5000208,1832
11823-12705,6.9426055,55.20589489,5.575488082,0.10123579,0.047012405,28.50008417,525
11827-12703,6.794733,152.6762728,1.335870726,0.350318656,0.087585521,7.000096111,362
11827-3702,5.0972676,81.94077215,0.693419116,0.045171927,0.007710149,79.00005611,242
11838-6104,8.201276,178.648476,0.544934266,0.406531938,0.46214565,113.0000372,701
11863-6101,5.35198,15.79218909,1.063913683,0.199040329,0.123721841,174.5000031,316
11872-12701,9.739622,163.9324236,1.237248626,0.071785276,0.060493546,105.0000417,961
11947-3701,5.1224346,89.75277215,1.242359797,0.133149989,0.172839901,131.5000269,283
11960-9102,7.130852,133.4088302,1.246463234,0.091522388,0.038446745,117.000035,476
11963-3703,3.0868828,102.6924405,9.378102509,0.124641221,0.082417735,90.50004972,110
11983-12703,9.29648,93.62565458,0.536315906,0.939674928,0.337773464,153.5000147,855
12073-9102,11.630613,118.7884271,0.825507453,0.537445256,0.260478497,161.0000106,1291
12084-9101,11.69134295,32.85480207,0.850518475,0.1495754,0.043534798,178.0000011,1897
12089-3701,7.361215932,103.6209139,2.426013416,0.087031624,0.040332878,77.00005722,734
12093-12702,13.85640646,53.72428868,1.823250978,0.424963697,0.144101915,19.00008944,2644
12624-6103,6.1574874,34.34921549,3.44394204,1.344574975,0.957599695,162.00001,375
12651-12703,13.85640646,31.44713236,1.84549331,0.133394843,0.097808963,141.5000214,1793
12675-12705,8.261443,127.758321,4.031975314,0.36893262,0.202827531,72.00006,746
12682-3704,3.2847238,31.88642193,3.564759453,1.03798012,0.455836971,18.00009,129
12700-1901,2.2341626,54.46564294,1.001514634,0.188567546,0.110029196,175.5000025,51
7960-9102,7.45708,5.665511503,1.680734124,0.060478555,0.555771645,35.00008056,459
7975-3702,4.32828,23.32932845,1.844985222,0.029351643,0.006684147,13.00009278,200
7981-12702,8.41168,135.8054094,2.017118189,0.262049952,0.091779082,75.50005806,819
7981-12705,9.12924,27.26768926,1.969724557,1.552419817,0.67403711,83.00005389,684
8075-12704,8.68455,43.6563547,3.999836648,0.333467213,0.115669096,0.0001,750
8075-9101,7.85706,71.41050838,12.50207744,0.216465103,0.353504288,1.500099167,652
8089-3702,4.35198,84.55398213,7.703035614,0.147699903,0.031799953,65.50006361,211
8089-3704,4.52849,83.76413482,3.241722671,0.03612463,0.025186986,68.00006222,207
8095-6101,6.48208,14.21007551,1.891966142,0.046488962,0.031394056,24.50008639,209
8131-12705,5.28624,47.64589164,2.846845524,1.328410632,1.156698492,35.50008028,315
8132-9102,6.93266,108.0288526,8.147841027,0.030641368,0.037453503,94.5000475,581
8145-12702,11.519,57.86866819,0.687155096,0.039861642,0.019709552,57.50006806,1149
8154-3702,4.40173,12.18083279,0.930939126,0.152849063,0.024087973,14.50009194,181
8158-6103,6.44857,26.16428147,2.987220286,4.304623619,5.628053284,104.5000419,449
8239-12701,5.4651,167.5388225,1.235896184,0.038744389,0.035442372,156.0000133,278
8240-12703,8.068,38.06150389,5.234434513,1.052151124,0.712568634,174.0000033,508
8244-6103,5.93966,144.500115,1.18673542,0.078877092,0.043031542,129.5000281,332
8245-3703,7.361215932,62.02434982,1.2188049,0.168992358,0.086223355,7.000096111,701
8247-9102,7.45317,91.84184122,0.552412296,1.262890472,0.816378711,37.50007917,661
8254-6101,4.03883,176.2679598,1.590135892,0.105280071,0.062100856,5.000097222,163
8314-6104,3.71336,163.2840782,1.784144156,0.224314201,0.142391531,151.0000161,141
8333-3704,4.83844,144.0729354,0.590664385,0.030241658,0.017788794,136.0000244,231
8333-6103,4.10997,161.1679203,7.709572377,2.125701349,2.506961071,27.50008472,197
8438-12703,5.88142,107.4451518,0.834944418,0.199075312,0.095356541,150.0000167,342
8447-6103,6.00219,146.691674,1.511779034,0.041669762,0.017672452,148.0000178,432
8450-3701,4.39564,148.029381,2.728212786,0.030194253,0.188001074,42.50007639,205
8479-12705,13.85640646,152.8590973,2.305123709,0.050949657,0.046126952,178.0000011,2690
8479-9101,11.69134295,54.55271918,1.768119486,0.10149457,0.04074677,64.00006444,1880
8481-3702,7.361215932,38.72375528,1.082613959,0.170572518,0.070214878,31.00008278,664
8554-6102,5.35147,103.4222374,2.882869648,0.018699089,0.119201224,41.50007694,288
8554-6103,6.22415,81.98940852,3.366179939,0.084677901,0.104654813,46.50007417,393
8555-12704,7.11247,25.83454076,4.327937642,1.568230262,0.99101747,157.0000128,432
8555-6103,6.62929,142.5511987,0.597840386,0.085847016,0.047600089,11.50009361,433
8566-12701,6.22924,26.90805253,0.45030883,0.121200226,0.040244144,12.00009333,388
8591-6102,5.76755,25.43524035,2.984309991,0.046343562,0.051587832,65.50006361,382
8592-12703,5.07331,163.7923638,0.847690376,0.202778828,0.237835039,52.50007083,287
8593-3704,5.22979,19.17426754,0.331137976,0.05112401,0.009752846,36.00008,243
8593-6102,3.61189,89.56757225,2.965448435,0.24578458,0.13604149,50.00007222,149
8598-6101,3.30566,59.84570819,2.296609597,0.201996373,0.098764659,74.00005889,125
8600-9101,7.02372,173.8633696,0.576338676,0.257857916,0.054639425,141.0000217,375
8603-6101,9.526279442,23.85501869,12.07813607,0.204995229,0.099331001,97.00004611,1277
8614-12701,13.8352,135.6866126,0.33737733,0.220271496,0.042333486,21.00008833,1623
8615-12703,7.88769,115.8152403,1.698516071,0.111727128,0.088999033,57.50006806,574
8615-12704,7.59865,136.7734346,0.295925759,0.202020769,0.101026586,50.50007194,479
8626-6101,6.57355,54.13773499,3.117205707,4.50795406,6.766655462,74.50005861,461
8655-9101,7.0376,109.1775913,0.887328041,1.164743172,0.699095258,113.5000369,415
8714-3704,4.86252,123.3548442,1.763495085,0.071787931,0.014894526,123.0000317,285
8714-6103,7.43499,80.35331931,3.182312034,0.093925976,0.05201554,45.50007472,624
8715-3701,4.9714,45.65155111,0.521926684,0.078052596,0.026951885,42.50007639,289
8717-1901,5.196152423,89.53802818,1.261691142,2.26712037,3.749557082,15.50009139,362
8717-6103,3.65197,174.9278988,1.107139054,0.025412986,0.068830795,53.50007028,125
8721-9102,6.85679,168.6801656,1.719093489,2.909267518,7.137269007,180,539
8722-6102,6.13749,45.82577326,2.160852521,0.36467875,0.108498986,47.00007389,407
8943-3704,3.97791,171.8027641,1.63091201,0.037210973,0.019243147,0.0001,177
8946-12703,6.77201,9.067337004,0.791990855,0.031256517,0.046990185,22.5000875,480
8979-9102,4.65528,173.4112078,2.847437654,1.131563573,1.160532171,41.50007694,154
8984-6102,5.78464,89.79109085,1.804478821,0.026681086,0.041901766,113.0000372,367
8990-12702,13.85640646,17.74921716,2.833619868,0.10889833,0.032101494,13.00009278,2209
8991-3702,7.361215932,1.098115304,0.565553871,0.058179404,0.03775856,168.0000067,560
8994-6102,9.526279442,142.9969968,0.58536798,0.216747623,0.13784319,11.50009361,1267
8995-12703,10.8341,47.98504151,1.537080392,0.082401336,0.115125146,70.50006083,1281
8995-6103,3.84419,164.2025819,1.122219927,0.033809313,0.058444623,138.0000233,158
9002-12703,13.85640646,100.7867284,4.766931867,0.456680506,0.241822577,162.00001,1463
9024-1901,3.51848,96.07320672,1.725282472,0.441187352,0.18865597,143.0000206,143
9030-12705,10.6205,106.7480137,10.24815572,0.269123545,0.179941993,70.00006111,1191
9031-9102,7.23784,52.68848373,3.070547581,0.026737784,0.050353608,44.00007556,473
9033-6104,5.60019,167.6803697,5.184991743,0.133041971,0.058093583,131.5000269,334
9034-6104,6.64558,115.1918792,0.659862533,0.088572871,0.027029659,116.5000353,449
9039-12703,9.46289,154.3179995,0.94064235,0.034982281,0.038764373,104.5000419,744
9042-1901,1.51505,166.6472686,5.169909323,0.026472935,0.057318385,151.5000158,27
9042-3702,4.81487,165.286121,1.8264598,0.006507727,0.036096004,150.0000167,251
9043-12703,11.7341,173.4168795,0.35036152,0.502694084,0.085660201,158.0000122,1302
9043-3704,5.72858,150.9534944,1.608479383,0.064681715,0.065106297,162.00001,390
9044-3702,2.74833,176.3940891,1.646088576,0.062353179,0.015921861,2.500098611,81
9044-6104,6.70501,150.6182336,3.772110491,0.166645026,0.103758068,160.5000108,413
9045-12705,9.17358,94.34817165,3.883367841,0.065046979,0.048342861,101.5000436,763
9045-3701,6.39073,29.37254922,0.291332135,0.04268173,0.011108539,22.00008778,403
9088-6103,9.526279442,38.35437846,2.82293776,0.441700002,0.189348646,150.5000164,1315
9090-12701,2.68143,67.92191641,9.02704201,0.085576029,0.114990511,36.50007972,78
9091-3702,2.66743,124.1808655,24.23289591,0.075811065,0.226096875,79.00005611,71
9092-6104,5.56306,134.116143,0.878537764,0.141823182,0.041164779,93.50004806,301
9093-12703,10.3599,28.25609539,1.859853238,1.6010485,0.857085814,15.50009139,835
9094-9101,7.94047,53.97605288,1.14633469,0.030710536,0.021180356,58.5000675,605
9181-12702,13.85640646,36,3.891639737,0.123305834,0.05313396,48.00007333,2311
9182-12701,8.54707,171.3868291,1.970407766,0.082220629,0.031874355,174.5000031,641
9183-3701,7.361215932,33.60027583,1.706389441,0.59004218,0.185320181,42.00007667,761
9191-6103,6.65052,44.14485677,2.498949813,2.565320996,1.715912434,24.00008667,479
9192-6103,7.25422,171.3890145,4.084504627,0.585283388,0.460585712,14.50009194,573
9485-9101,7.12459,99.5144969,1.391404822,0.533144387,0.148448252,111.5000381,518
9494-9101,5.14887,10.09723645,2.894654815,0.119943742,0.026840661,16.50009083,227
9503-6103,6.36098,57.77612286,0.622850055,0.048188088,0.017524682,53.50007028,379
9506-3704,5.16188,35.76160631,2.67306084,0.150991969,0.099509124,62.00006556,242
9511-9102,7.04605,44.59265983,1.470957174,0.135295971,0.047700226,85.5000525,561
9883-6104,6.26597,60.04724478,0.502986373,0.051479455,0.032273612,55.50006917,414
9883-9101,8.43355,127.09045,2.332769216,1.954274195,1.203376933,8.000095556,685
9885-12703,11.6602,178.1714243,1.454382704,0.386329697,0.169980474,95.50004694,1203
9887-6101,6.04853,155.0135445,0.893779619,0.136494441,0.086282857,5.500096944,365
