plateifu,rad,kPAkin,kPAerr,k51,k51err,kPAks,pn
nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan
10214-3703,7.361215932,17.20181924,2.292182094,3.8724114,6.073196818,26.50008528,757
10216-9101,11.69134295,35.84014324,1.144550571,0.531886463,0.138173377,50.00007222,1892
10493-6103,9.526279442,159.1120765,0.361446006,0.991211991,0.361639715,16.00009111,1110
10494-12702,13.85640646,114.1531595,1.712133441,0.411263195,0.207172597,137.0000239,2642
10496-6104,9.526279442,171.3115073,2.137042236,0.693502144,0.211959061,103.0000428,1272
10498-3702,7.361215932,96.66485091,1.272144541,0.098836204,0.041949717,57.00006833,763
10498-6102,9.526279442,36,4.04E-05,0.020325435,40832.92524,108.5000397,759
10499-12702,13.85640646,12.30978969,3.979264119,1.848073596,0.658186019,167.0000072,2708
10502-12702,13.85640646,99,6.61595E+11,0.020573629,8995.194614,78.00005667,1741
10503-9101,11.69134295,50.97233282,0.744513187,0.334843426,0.129854127,63.000065,1867
10510-6104,9.526279442,123.6530735,0.152146414,0.154497993,0.005100638,162.00001,1259
10510-9102,11.69134295,177.3681245,0.784059504,0.123832336,0.028840078,176.5000019,1883
10513-12701,13.85640646,89.03671816,0.23728322,0.504104565,0.270311563,135.5000247,2716
10841-12704,13.85640646,132.0939279,2.948087497,0.073922171,0.121419301,81.000055,2658
11010-3704,7.361215932,30.5051981,2.582282832,0.13658683,0.065036038,68.00006222,724
11011-9102,11.69134295,150.5358525,4.763073379,0.148787674,0.12893869,105.0000417,1885
11020-9101,11.69134295,74.46825396,0.933846265,0.689585016,0.269978606,14.50009194,1933
11024-6103,9.526279442,52.75387399,1.340239535,0.128311552,0.11669799,8.500095278,1003
11747-12704,13.85640646,171.618126,0.839043715,0.250836426,0.062137831,157.5000125,2755
11749-3702,7.361215932,88.93491529,1.346249038,0.453312142,0.09949506,105.0000417,736
11755-3701,7.361215932,52.80122858,0.922708246,0.017082127,0.035755391,45.50007472,772
11761-9102,11.69134295,150.1692884,1.680920778,0.049668723,0.082324159,142.0000211,1862
11823-12705,13.85640646,59.5598818,0.892185451,0.141624512,0.074094261,129.0000283,2168
11827-12703,13.85640646,167.6653737,0.096607731,0.18090241,0.014113896,9.000095,1165
11827-3702,7.361215932,87.95130984,0.324269849,0.045251503,0.015537117,88.00005111,741
11838-6104,9.526279442,1.302766141,0.361828968,0.568153604,0.274725654,24.00008667,1225
11863-6101,9.526279442,170.9461829,0.99157938,0.140765844,0.061279443,41.00007722,1315
11872-12701,13.85640646,93.04476311,0.92493424,0.287695774,0.108322201,164.0000089,2614
11947-3701,7.361215932,162.5857981,2.586267729,0.229612011,0.136552871,149.0000172,746
11960-9102,11.69134295,117,0.418674401,0.106427512,0.0468226,142.0000211,1850
11963-3703,7.361215932,99,0.380354485,0.495835929,0.217057575,90.00005,700
11983-12703,13.85640646,43.22799433,0.720368726,0.121927316,0.090977098,168.5000064,2259
12073-9102,11.69134295,118.8842226,0.780614694,0.530178185,0.256313258,164.0000089,1858
12084-9101,11.69134295,32.85480207,0.850518475,0.1495754,0.043534798,178.0000011,1909
12089-3701,7.361215932,103.6209139,2.426013416,0.087031624,0.040332878,73.00005944,750
12093-12702,13.85640646,53.72428868,1.823250978,0.424963697,0.144101915,31.00008278,2682
12624-6103,9.526279442,30.69858565,1.476143394,0.128820722,0.197862825,33.50008139,1263
12651-12703,13.85640646,31.44713236,1.84549331,0.133394843,0.097808963,144.5000197,2355
12675-12705,13.85640646,53.48370357,0.720608879,0.467190758,0.091545774,86.50005194,2331
12682-3704,7.361215932,126.2687369,1.473183507,0.083708252,0.063020395,93.50004806,740
12700-1901,5.196152423,162.6806667,5.791144714,0.276396029,0.081854754,177.5000014,342
7960-9102,11.69134295,24.10080071,2.428958152,1.274168352,0.751949205,42.50007639,1756
7975-3702,7.361215932,24.80348047,0.68531839,0.059333838,0.019701627,25.00008611,761
7981-12702,13.85640646,44.74068165,4.202452115,0.553584386,0.195636611,84.50005306,2696
7981-12705,13.85640646,9.968571223,1.550188334,0.190101614,0.129967108,141.5000214,2261
8075-12704,13.85640646,52.10822369,0.966981901,0.103478488,0.077404648,75.50005806,2730
8075-9101,11.69134295,73.19360111,4.024093848,6.501639335,20.04692288,129.5000281,1939
8089-3702,7.361215932,97.91695613,0.878543415,0.10288051,0.044712864,84.00005333,763
8089-3704,7.361215932,77.82983839,1.043119241,0.067935739,0.024588199,81.000055,791
8095-6101,9.526279442,1.373765909,1.977256996,0.189330361,0.034130131,12.50009306,1104
8131-12705,13.85640646,126,0.133137662,0.445881443,0.623939517,82.00005444,1030
8132-9102,11.69134295,80.039895,1.322427147,0.075273362,0.047453103,100.5000442,1983
8145-12702,13.85640646,72.52152545,0.122234186,0.182070133,0.041416568,34.50008083,1934
8154-3702,7.361215932,7.849904311,1.001036582,0.207306355,0.067724284,18.00009,708
8158-6103,9.526279442,17.3048491,25.19795525,1.074879888,0.766735957,94.00004778,1264
8239-12701,13.85640646,81,11888736070,0.020325435,2593.282276,139.0000228,776
8240-12703,13.85640646,170.5537446,18.91324223,0.357313573,0.155373769,145.5000192,2168
8244-6103,9.526279442,142.3112815,1.487618591,0.034811813,0.04517644,130.0000278,1194
8245-3703,7.361215932,62.02434982,1.2188049,0.168992358,0.086223355,7.000096111,767
8247-9102,11.69134295,108.0343097,1.4077668,6.727050934,10.47512387,4.5000975,1847
8254-6101,nan,nan,nan,nan,nan,141.5000214,769
8314-6104,9.526279442,159.8775892,2.362482784,0.057002915,0.074476364,129.0000283,778
8333-3704,7.361215932,157.1255941,3.443111764,0.080914598,0.061373538,152.0000156,736
8333-6103,9.526279442,16.25764616,2.194003491,1.331802223,0.671507234,87.00005167,1236
8438-12703,13.85640646,88.14790668,0.373348571,0.047964837,0.224148143,46.00007444,1782
8447-6103,9.526279442,151.3246511,0.59683329,0.112491985,0.046365025,150.5000164,1236
8450-3701,7.361215932,41.53734706,1.019523432,0.174861682,0.056542931,169.0000061,759
8479-12705,nan,nan,nan,nan,nan,nan,0
8479-9101,nan,nan,nan,nan,nan,nan,0
8481-3702,7.361215932,38.72375528,1.082613959,0.170572518,0.070214878,29.50008361,737
8554-6102,9.526279442,88.72381778,1.329704548,0.208033089,0.17380135,37.00007944,1253
8554-6103,9.526279442,89.04427275,6.069837884,0.019179483,0.106651763,157.0000128,1251
8555-12704,13.85640646,116.9722645,5.897427865,0.323185947,1.602330156,28.00008444,1683
8555-6103,9.526279442,9.433840529,0.347999925,1.522709967,0.225699322,61.00006611,1241
8566-12701,13.85640646,28.78512943,0.422399025,0.10019206,0.030983284,38.50007861,1541
8591-6102,9.526279442,34.68479978,1.222958057,0.040104707,0.087820534,69.50006139,1268
8592-12703,13.85640646,0,1.141573708,0.250573245,51.39481647,126.5000297,900
8593-3704,7.361215932,21.2645084,0.496686163,0.064827065,0.013409295,37.50007917,732
8593-6102,9.526279442,171,2.90E-05,0.020325435,1395.949543,133.5000258,877
8598-6101,9.526279442,42.5609412,3.793487184,0.304061125,0.098263018,84.00005333,1245
8600-9101,11.69134295,25.07137828,0.618475577,0.392197496,0.145298346,132.5000264,1431
8603-6101,9.526279442,23.85501869,12.07813607,0.204995229,0.099331001,97.00004611,1277
8614-12701,13.85640646,135.7823569,0.402409401,0.234437333,0.042969665,19.50008917,2244
8615-12703,13.85640646,91.18626943,2.07849238,0.048904801,0.059043119,47.50007361,2709
8615-12704,13.85640646,64.1246095,0.045625081,0.040027039,0.011005848,41.50007694,1550
8626-6101,9.526279442,98.21306517,4.329993569,2.210342479,1.32121355,52.00007111,1254
8655-9101,11.69134295,171.7342309,0.956185018,0.240547473,0.338605856,5.000097222,1176
8714-3704,7.361215932,124.1674434,0.975276643,0.047838354,0.037807081,123.0000317,708
8714-6103,9.526279442,82.18359457,0.892324406,0.140584694,0.051623441,28.00008444,1229
8715-3701,7.361215932,44.49940927,0.4529121,0.081909312,0.025681911,39.00007833,770
8717-1901,5.196152423,89.53802818,1.261691142,2.26712037,3.749557082,17.00009056,375
8717-6103,9.526279442,80.49205281,0.329692788,0.073403135,0.036514925,71.00006056,973
8721-9102,11.69134295,125.3589295,2.457468466,1.037548851,0.982075013,99.000045,1920
8722-6102,9.526279442,54.86007642,2.927262829,0.108654622,0.077914705,52.50007083,1299
8943-3704,7.361215932,173.407747,1.054517363,0.099398776,0.047685057,14.00009222,696
8946-12703,13.85640646,126,0.244451539,0.09792902,4.72E+16,30.50008306,788
8979-9102,11.69134295,18,0,0.020325435,30.19592771,98.50004528,683
8984-6102,9.526279442,82.01647025,0.971735116,0.151972108,0.059017495,79.00005611,1132
8990-12702,13.85640646,17.74921716,2.833619868,0.10889833,0.032101494,14.00009222,2665
8991-3702,7.361215932,1.098115304,0.565553871,0.058179404,0.03775856,162.00001,737
8994-6102,9.526279442,142.9969968,0.58536798,0.216747623,0.13784319,11.50009361,1270
8995-12703,13.85640646,53.94493624,1.865878462,0.066024474,0.113970808,46.50007417,2530
8995-6103,9.526279442,125.8094643,0.369646131,0.126610557,6.311350417,44.00007556,732
9002-12703,13.85640646,100.7867284,4.766931867,0.456680506,0.241822577,160.5000108,1826
9024-1901,5.196152423,90.76040515,5.967770811,2.515912116,1.792468624,108.5000397,391
9030-12705,13.85640646,107.4490434,3.642581808,0.526878484,0.400440892,11.00009389,2685
9031-9102,11.69134295,22.5448605,0.654576468,0.221703447,0.042804394,42.00007667,1798
9033-6104,9.526279442,145.8255512,0.797051998,0.051924739,0.044307826,18.00009,1256
9034-6104,9.526279442,118.36916,0.655105732,0.095631311,0.028093915,102.5000431,1222
9039-12703,13.85640646,136.7807367,0.425970765,0.112570936,0.023653178,105.0000417,1978
9042-1901,5.196152423,12.72452247,1.379765793,0.101570586,0.11805199,4.5000975,367
9042-3702,7.361215932,144.676086,1.437386839,0.405919467,0.119259384,96.00004667,740
9043-12703,13.85640646,136.3874846,0.531065702,0.277911573,0.055888622,155.0000139,1763
9043-3704,7.361215932,161.7624691,1.498321347,0.118388737,0.081874559,147.5000181,752
9044-3702,7.361215932,0.08628033,0.618812451,0.2170757,0.043218657,15.50009139,710
9044-6104,9.526279442,162.1007688,0.966318967,0.514068579,0.095640995,139.0000228,1230
9045-12705,13.85640646,99.78213969,0.342037992,0.391360346,2.09903304,102.5000431,1853
9045-3701,7.361215932,30.45358131,0.831460063,0.043420747,0.01144311,27.000085,739
9088-6103,9.526279442,38.35437846,2.82293776,0.441700002,0.189348646,150.5000164,1315
9090-12701,13.85640646,78.9484889,0.731376688,0.069931287,0.071188695,54.00007,1372
9091-3702,7.361215932,70.16821368,0.806813638,0.195244437,0.088922233,54.00007,734
9092-6104,9.526279442,117.8647172,0.820652685,0.070782449,0.051514586,94.00004778,1294
9093-12703,13.85640646,82.68924392,55.78227471,0.328189475,0.313460003,136.0000244,2622
9094-9101,11.69134295,56.91595415,0.458341055,0.068169878,0.021585872,45.50007472,1923
9181-12702,13.85640646,36,3.891639737,0.123305834,0.05313396,49.00007278,2677
9182-12701,13.85640646,8.109125255,0.596975618,0.229951942,0.156323581,7.500095833,2548
9183-3701,nan,nan,nan,nan,nan,nan,0
9191-6103,9.526279442,127.0203028,1.086692991,0.784038106,0.4364088,162.00001,1219
9192-6103,9.526279442,44.88861985,1.51637622,0.546847439,0.146262677,71.00006056,1283
9485-9101,11.69134295,178.1684375,6.979039794,2.467953236,3.475933618,106.0000411,1880
9494-9101,11.69134295,22.45473609,0.538400618,0.022859848,0.031510038,43.00007611,1528
9503-6103,9.526279442,55.86086029,0.63180667,0.034817561,0.035392223,70.00006111,1297
9506-3704,7.361215932,27.10384792,60.33417509,0.434062041,0.200958808,48.50007306,762
9511-9102,11.69134295,36.72394583,1.133131706,0.067037864,0.04793228,80.00005556,1870
9883-6104,9.526279442,60.9319029,0.635302894,0.044938933,0.043050742,58.5000675,1273
9883-9101,11.69134295,99,6.647653746,0.14788936,0.136338451,157.0000128,1844
9885-12703,13.85640646,26.85869989,4.60880809,0.203762015,0.247036052,142.5000208,2752
9887-6101,9.526279442,153.1125277,0.610113697,0.034382921,0.041731394,170.0000056,1331
