plateifu,300kpc1500cz_count,0th_kpc_1500cz,1th_kpc_1500cz,2th_kpc_1500cz,3th_kpc_1500cz,4th_kpc_1500cz,5th_kpc_1500cz,6th_kpc_1500cz,
31,2,0.135387683,162.5476481,4775.414647,6093.005664,6128.315923,7680.865335,10641.57272, 
48,1,0.293498602,1144.322804,2194.489159,4995.702164,5123.744966,5500.182264,8987.087525, 
73,0,402.5691831,1255.694368,3169.013322,3740.705449,3800.806121,3815.343631,3921.147639, 
81,2,161.9886158,286.8802884,956.2547642,960.3065925,979.3911884,1031.251468,1067.16453, 
114,1,0.122904621,444.6288334,828.791406,874.4229029,942.3350168,1034.57818,1153.387012, 
178,1,0.140987433,1698.823514,3014.694267,3747.53062,6.45E+03,7125.636813,9722.797875, 
182,1,0.043552211,1133.728463,1394.362848,1410.967063,1694.106484,1893.118799,2020.256267, 
200,2,0.204398698,275.1712508,425.4540675,482.872138,653.8215172,723.28053,726.8717716, 
201,4,0.096601298,214.6470753,267.4836106,290.5659628,444.1975583,470.7771535,720.2712212, 
208,1,0.120285287,1048.422096,1050.445609,1334.831461,2148.732116,2567.670986,2801.461913, 
211,2,0.059141922,225.6951264,689.5797703,1119.49528,1392.510054,1603.372569,1651.30329, 
232,2,0.196099346,277.8693116,448.1016353,491.469412,756.5065944,783.7746112,913.2012938, 
245,2,0.050715864,221.4718608,339.7699266,569.6833083,1017.768911,1224.931684,1380.353531, 
252,2,0.145230217,100.1981459,341.6989589,498.1868418,851.0503543,979.9005472,1064.322677, 
258,2,0.132066988,149.9293426,492.9081935,538.2241971,614.6982571,1480.093314,1520.040241, 
270,0,589.6100922,817.3447625,906.3518409,1426.890917,1917.741749,2366.987401,2909.044568, 
275,1,0.067144009,544.2703506,736.0700765,850.4222535,3137.515476,3475.782607,4666.413365, 
283,1,0.136249045,3735.221194,4411.056052,5435.002749,6662.986247,13803.90038,15183.92193, 
310,1,0.182740215,358.9474605,377.5519979,489.3482146,656.4752602,948.3674129,1041.511613, 
315,1,0.012046927,485.8029434,518.5418591,520.0798413,722.9350112,2087.804562,2134.089712, 
337,2,0.201758802,141.4792873,348.8044325,800.2006579,1059.670195,1393.645612,2001.111212, 
357,1,0.152473534,945.6339061,965.9512443,4116.203454,5254.422221,7299.558897,7411.141536, 
365,1,0.145385121,1001.071891,1182.478301,1.32E+03,1372.082154,1457.206371,1504.528262, 
369,1,259.8585419,352.3222435,401.8707758,1019.004226,1102.785353,1113.96992,1775.128001, 
387,1,0.114542665,3044.704253,4674.620834,4871.202978,6573.565378,7862.204454,7874.299353, 
420,2,0.084472976,205.1007865,2118.506311,2146.136875,2178.458265,2299.377694,2382.150502, 
440,1,0.154918352,1497.714709,1623.628669,1794.598887,1993.113764,2080.218754,2177.01101, 
474,1,0.127474341,472.9553641,533.7330717,1436.867879,3072.666686,3099.830133,4075.382028, 
495,1,55.08552041,556.5324994,641.4352283,1929.220017,2487.351192,2818.73241,3446.800222, 
508,1,0.203642045,383.3887646,1.96E+03,2051.5215,2090.580979,2217.393878,2425.651761, 
522,1,0.300664722,1128.436758,1253.696393,1282.135843,1680.374158,2345.152581,2548.647635, 
529,1,0.016355015,1136.7378,1212.197835,1414.458533,1665.440334,1751.156497,2096.969557, 
560,2,0.220667608,272.2814913,3121.270947,3176.403947,3629.647376,4414.121337,4622.122376, 
565,1,0.146886125,9.39E+02,1076.299492,2035.466331,2497.760558,3035.728458,3288.084539, 
575,2,0.160067375,75.4650702,844.3485704,1756.762248,4107.148617,4476.813865,6384.073384, 
581,1,0.045301502,710.6592755,952.7071077,1039.896991,1049.322087,1112.280544,1182.169664, 
583,1,0.065590167,1593.924722,1668.924849,1760.771564,1901.033646,2066.364474,2288.562906, 
619,1,0.060490908,1812.811942,2688.213064,5261.036122,9919.43891,11391.54941,11660.29425, 
624,1,8.63961337,8816.94745,10709.57204,14514.63436,20690.86267,24501.18242,28550.34723, 
627,1,54.63517944,725.7637188,732.965569,1295.633592,1691.137495,1780.920094,1954.377475, 
649,1,0.079712044,610.8348219,773.7002431,1871.828307,2150.667662,2398.338323,2464.307828, 
724,1,0.091058708,2330.741584,4804.752561,4851.654222,5094.38801,5326.513786,7917.424177, 
727,1,0.090792779,546.1238931,1627.970061,1866.453413,2259.071452,2.72E+03,2823.582093, 
750,1,0.137331707,849.8920512,2479.892178,3014.601741,4096.40448,4135.522952,4903.674492, 
758,2,0.3614772,218.6118051,1441.232279,1496.703432,1539.962291,1593.875654,1667.366241, 
783,2,0.185769665,241.1689009,820.4380809,843.4613001,1279.210588,1494.104384,1871.63736, 
787,1,0.217677048,438.1408547,459.2336957,792.9471691,943.3270433,952.2505637,964.1309048, 
800,0,918.334917,1196.438579,1504.086435,1982.381221,2001.122683,2547.956986,2743.356538, 
816,2,9.349840595,224.6313349,547.6960974,847.3297174,1369.830925,1553.1153,1793.361773, 
855,1,0.14348662,2047.706274,2645.613,2812.673422,3479.33258,3791.260039,6014.353474, 
872,2,0.215315949,77.42546174,499.4741245,510.208068,568.2651445,775.0593423,1173.651854, 
903,1,0.163024918,575.5947956,1302.241522,2577.529045,2585.217203,2634.49388,2994.03615, 
917,1,0.138840019,2544.048715,3007.674064,3029.187576,3735.271494,3779.05143,3821.931534, 
1000,1,0.063362639,536.8854867,672.0879771,699.2726363,1153.64036,1790.227653,1950.378582, 
1023,1,0.084505143,3504.65935,5432.479193,6538.536157,7397.961568,7598.451541,7660.086854, 
1056,1,0.094193145,2987.625511,3158.878349,3284.641854,3731.831003,3815.00892,3910.698295, 
1069,3,0.031643465,122.2432128,261.240943,642.3625982,6.52E+02,745.7447253,905.430101, 
1097,1,0.277326521,879.712853,1703.71417,2118.871633,2357.971699,2581.932448,3377.655791, 
1103,3,0.163829672,170.1361802,195.948689,316.12864,356.6501102,1162.674766,1381.502458, 
1126,2,0.333391614,214.6293671,1124.117017,3720.866426,4478.149315,4943.039427,6591.853234, 
1135,2,0.118041868,194.3639886,322.4616788,504.5879066,511.7760849,963.2424278,1247.520756, 
1167,1,0.138288436,707.0589698,2274.85445,2637.563764,7870.573117,10663.75895,10794.0796, 
1170,2,0.06371614,280.5326171,1719.666321,3206.228358,3537.848275,3800.936281,4188.235783, 
1194,2,0.344738101,277.6103849,1431.153871,3228.038129,4830.052609,4985.117893,5167.549863, 
1199,4,0.152555814,1.29E+02,153.212186,213.0008334,317.2386553,413.2403288,490.1526467, 
1202,1,0.218578,7.47E+02,843.8955178,981.5159011,1467.7611,1528.253823,1725.051948, 
1230,3,0.083277465,1.47E+02,214.6536398,942.329357,972.0822449,2736.892653,2841.116554, 
1231,5,0.168716694,61.10848987,102.3157214,153.4146144,224.6894827,318.7945559,349.6254713, 
1260,2,0.276216836,293.1289671,352.8343345,438.0108903,446.4116374,480.2938532,494.2521129, 
1302,1,0.257892821,1502.513026,2227.267952,2968.635881,3316.118807,3516.293708,3901.637989, 
1366,1,0.147820937,877.6840152,2015.712912,2057.480011,2186.845239,2241.160381,2408.126243, 
1372,1,0.077422534,948.1101142,948.750852,1106.362155,1397.93026,1409.039561,1565.73476, 
1377,2,0.096366752,49.21384644,2627.033028,3333.173613,3402.306219,3671.524077,3856.781555, 
1395,1,0.326770307,1303.535515,2276.450363,2831.581519,9451.614438,11980.50453,12241.87241, 
1410,3,0.292763126,281.4833431,290.9895551,5.49E+02,770.103215,865.8711304,1027.64464, 
1420,2,0.074540043,293.6068264,301.1342803,511.4494194,775.780362,877.041548,1.18E+03, 
1438,2,0.055569245,277.6334853,500.0978576,578.0287376,661.6453563,707.3474153,768.0281238, 
1459,1,0.061386704,2107.159455,3269.59285,6214.874189,6268.059523,6334.44521,6471.096296, 
1503,2,0.185255679,245.625266,438.549517,466.7162155,487.5953399,548.2148858,656.9203547, 
1506,1,0.306721417,595.5183997,923.4925539,1209.943164,1389.840444,1590.468606,1707.716265, 
1523,3,0.217736878,4.11E+01,285.1018929,338.4994523,693.6483398,751.9854173,782.6929572, 
1549,2,0.168235914,232.1489144,310.6912621,390.5272526,856.3795927,940.2136788,941.6339827, 
1574,2,0.047775438,71.96924224,768.3687659,861.895835,881.6902563,883.6663535,981.9236715, 
1620,0,2245.329809,2453.419989,2679.072829,2953.221115,3014.862602,3056.353213,3192.287013, 
1633,4,0.193714189,71.77253129,122.297669,169.7465098,803.2158417,842.3266963,962.3936677, 
1648,2,0.271076419,108.896917,312.9893932,1403.275147,1519.858018,2688.382936,3426.894662, 
1651,1,0.101169293,603.8506254,2185.524928,5908.7704,5993.233889,6249.071467,6624.959275, 
1663,3,60.43062798,75.68444583,204.427109,362.1460553,835.6214958,1013.355496,1205.753195, 
1698,1,0.041761995,318.2846971,598.5232466,672.1621983,9.53E+02,1341.950235,1854.151238, 
